mode,year,parent_area,summary_level,geoid,threshold,weighted_average
transit,2021,25,block_group,250010101001,300,40.5674300254452
transit,2021,25,block_group,250010101001,600,123.959287531806
transit,2021,25,block_group,250010101001,900,343.735368956743
transit,2021,25,block_group,250010101001,1200,873.946564885496
transit,2021,25,block_group,250010101001,1500,1418.72264631043
transit,2021,25,block_group,250010101001,1800,1708.48600508905
transit,2021,25,block_group,250010101001,2100,1819.38676844783
transit,2021,25,block_group,250010101001,2400,1880.5903307888
transit,2021,25,block_group,250010101001,2700,1908.77099236641
transit,2021,25,block_group,250010101001,3000,1914.80407124681
transit,2021,25,block_group,250010101001,3300,1923.56743002544
transit,2021,25,block_group,250010101001,3600,1926.72519083969
transit,2021,25,block_group,250010101002,300,18.4341085271317
transit,2021,25,block_group,250010101002,600,62.7093023255814
transit,2021,25,block_group,250010101002,900,148.003875968992
transit,2021,25,block_group,250010101002,1200,305.220930232558
transit,2021,25,block_group,250010101002,1500,675.79457364341
transit,2021,25,block_group,250010101002,1800,1005.58914728682
transit,2021,25,block_group,250010101002,2100,1244
transit,2021,25,block_group,250010101002,2400,1467.2480620155
transit,2021,25,block_group,250010101002,2700,1639.57364341085
transit,2021,25,block_group,250010101002,3000,1777.59302325581
transit,2021,25,block_group,250010101002,3300,1865.8488372093
transit,2021,25,block_group,250010101002,3600,1919.22868217054
transit,2021,25,block_group,250010101003,300,89.6348684210526
transit,2021,25,block_group,250010101003,600,436.526315789473
transit,2021,25,block_group,250010101003,900,985.467105263157
transit,2021,25,block_group,250010101003,1200,1380.84539473684
transit,2021,25,block_group,250010101003,1500,1698.34868421052
transit,2021,25,block_group,250010101003,1800,1832.98355263157
transit,2021,25,block_group,250010101003,2100,1896.56578947368
transit,2021,25,block_group,250010101003,2400,1926.96710526315
transit,2021,25,block_group,250010101003,2700,1940.66447368421
transit,2021,25,block_group,250010101003,3000,1941.48026315789
transit,2021,25,block_group,250010101003,3300,1943.125
transit,2021,25,block_group,250010101003,3600,1944.75328947368
transit,2021,25,block_group,250010101004,300,183.137457044673
transit,2021,25,block_group,250010101004,600,766.762886597938
transit,2021,25,block_group,250010101004,900,1378.70790378006
transit,2021,25,block_group,250010101004,1200,1681.12027491408
transit,2021,25,block_group,250010101004,1500,1815.33676975945
transit,2021,25,block_group,250010101004,1800,1902.73195876288
transit,2021,25,block_group,250010101004,2100,1917.60824742268
transit,2021,25,block_group,250010101004,2400,1922.26460481099
transit,2021,25,block_group,250010101004,2700,1928.34020618556
transit,2021,25,block_group,250010101004,3000,1932.96907216494
transit,2021,25,block_group,250010101004,3300,1939.59106529209
transit,2021,25,block_group,250010101004,3600,1942.70103092783
transit,2021,25,block_group,250010101005,300,278.862068965517
transit,2021,25,block_group,250010101005,600,706.056426332288
transit,2021,25,block_group,250010101005,900,1319.64890282131
transit,2021,25,block_group,250010101005,1200,1626.3040752351
transit,2021,25,block_group,250010101005,1500,1789.67398119122
transit,2021,25,block_group,250010101005,1800,1855.62695924764
transit,2021,25,block_group,250010101005,2100,1907.58934169279
transit,2021,25,block_group,250010101005,2400,1916.10344827586
transit,2021,25,block_group,250010101005,2700,1921.33855799373
transit,2021,25,block_group,250010101005,3000,1927.36050156739
transit,2021,25,block_group,250010101005,3300,1933.13793103448
transit,2021,25,block_group,250010101005,3600,1940.47335423197
transit,2021,25,block_group,250010102061,0,0
transit,2021,25,block_group,250010102061,300,6.58582089552238
transit,2021,25,block_group,250010102061,600,10.4477611940298
transit,2021,25,block_group,250010102061,900,18.0223880597014
transit,2021,25,block_group,250010102061,1200,32.9216417910447
transit,2021,25,block_group,250010102061,1500,70.0559701492537
transit,2021,25,block_group,250010102061,1800,121.70895522388
transit,2021,25,block_group,250010102061,2100,193.343283582089
transit,2021,25,block_group,250010102061,2400,305.242537313432
transit,2021,25,block_group,250010102061,2700,453.335820895522
transit,2021,25,block_group,250010102061,3000,611.753731343283
transit,2021,25,block_group,250010102061,3300,818.45895522388
transit,2021,25,block_group,250010102061,3600,1056.32835820895
transit,2021,25,block_group,250010102062,300,24.7278287461773
transit,2021,25,block_group,250010102062,600,61.7400611620795
transit,2021,25,block_group,250010102062,900,133.293577981651
transit,2021,25,block_group,250010102062,1200,220.385321100917
transit,2021,25,block_group,250010102062,1500,288.480122324159
transit,2021,25,block_group,250010102062,1800,399.651376146789
transit,2021,25,block_group,250010102062,2100,497.464831804281
transit,2021,25,block_group,250010102062,2400,593.660550458715
transit,2021,25,block_group,250010102062,2700,692.868501529052
transit,2021,25,block_group,250010102062,3000,787.318042813455
transit,2021,25,block_group,250010102062,3300,892.076452599388
transit,2021,25,block_group,250010102062,3600,1008.57186544342
transit,2021,25,block_group,250010102063,300,6.93153526970954
transit,2021,25,block_group,250010102063,600,14.0041493775933
transit,2021,25,block_group,250010102063,900,45.356846473029
transit,2021,25,block_group,250010102063,1200,88.6825726141078
transit,2021,25,block_group,250010102063,1500,149.0622406639
transit,2021,25,block_group,250010102063,1800,233.13070539419
transit,2021,25,block_group,250010102063,2100,330.346473029045
