mode,year,parent_area,state,summary_level,geoid,geo_name,threshold,weighted_average
transit,2021,25,Massachusetts,county,25001,Barnstable County,300,43.0711406212947
transit,2021,25,Massachusetts,county,25001,Barnstable County,600,122.931529729562
transit,2021,25,Massachusetts,county,25001,Barnstable County,900,272.564021404047
transit,2021,25,Massachusetts,county,25001,Barnstable County,1200,504.463238857213
transit,2021,25,Massachusetts,county,25001,Barnstable County,1500,821.262343928818
transit,2021,25,Massachusetts,county,25001,Barnstable County,1800,1207.52828612964
transit,2021,25,Massachusetts,county,25001,Barnstable County,2100,1645.11271148869
transit,2021,25,Massachusetts,county,25001,Barnstable County,2400,2149.73594457217
transit,2021,25,Massachusetts,county,25001,Barnstable County,2700,2737.87471002464
transit,2021,25,Massachusetts,county,25001,Barnstable County,3000,3383.38934540318
transit,2021,25,Massachusetts,county,25001,Barnstable County,3300,4101.51493437535
transit,2021,25,Massachusetts,county,25001,Barnstable County,3600,4909.27735563093
transit,2021,25,Massachusetts,county,25003,Berkshire County,300,51.179995688726
transit,2021,25,Massachusetts,county,25003,Berkshire County,600,302.378994146616
transit,2021,25,Massachusetts,county,25003,Berkshire County,900,747.185799326778
transit,2021,25,Massachusetts,county,25003,Berkshire County,1200,1330.15261909894
transit,2021,25,Massachusetts,county,25003,Berkshire County,1500,2030.53932379325
transit,2021,25,Massachusetts,county,25003,Berkshire County,1800,2783.81340474571
transit,2021,25,Massachusetts,county,25003,Berkshire County,2100,3623.66251015636
transit,2021,25,Massachusetts,county,25003,Berkshire County,2400,4525.65199728058
transit,2021,25,Massachusetts,county,25003,Berkshire County,2700,5444.13051552887
transit,2021,25,Massachusetts,county,25003,Berkshire County,3000,6385.93440230818
transit,2021,25,Massachusetts,county,25003,Berkshire County,3300,7312.09944119256
transit,2021,25,Massachusetts,county,25003,Berkshire County,3600,8288.96088347952
transit,2021,25,Massachusetts,county,25005,Bristol County,300,103.222138178031
transit,2021,25,Massachusetts,county,25005,Bristol County,600,470.344875141604
transit,2021,25,Massachusetts,county,25005,Bristol County,900,1208.09292433911
transit,2021,25,Massachusetts,county,25005,Bristol County,1200,2319.02919343376
transit,2021,25,Massachusetts,county,25005,Bristol County,1500,3771.92710085068
transit,2021,25,Massachusetts,county,25005,Bristol County,1800,5530.42629519916
transit,2021,25,Massachusetts,county,25005,Bristol County,2100,7499.99944413563
transit,2021,25,Massachusetts,county,25005,Bristol County,2400,9653.39274983992
transit,2021,25,Massachusetts,county,25005,Bristol County,2700,11999.2316300898
transit,2021,25,Massachusetts,county,25005,Bristol County,3000,14690.4788771539
transit,2021,25,Massachusetts,county,25005,Bristol County,3300,17764.0087847679
transit,2021,25,Massachusetts,county,25005,Bristol County,3600,21415.713761513
transit,2021,25,Massachusetts,county,25007,Dukes County,300,35.719836688723
transit,2021,25,Massachusetts,county,25007,Dukes County,600,95.8700549063776
transit,2021,25,Massachusetts,county,25007,Dukes County,900,210.017738983528
transit,2021,25,Massachusetts,county,25007,Dukes County,1200,399.809517105448
transit,2021,25,Massachusetts,county,25007,Dukes County,1500,609.637617907926
transit,2021,25,Massachusetts,county,25007,Dukes County,1800,855.505420244966
transit,2021,25,Massachusetts,county,25007,Dukes County,2100,1134.44023651978
transit,2021,25,Massachusetts,county,25007,Dukes County,2400,1489.08517527805
transit,2021,25,Massachusetts,county,25007,Dukes County,2700,1926.99845135858
